file_stem,pair_type,capture_count,hardware_count,layer4_1_cosine,avgpool_cosine,cosine_reconvergence,layer4_1_relative_l2,avgpool_relative_l2,relative_l2_reconvergence
portugal-NF-1026,digital_2_vs_bonafide,3,3,0.9790558020273844,0.9956053495407104,0.016549547513326008,0.2052562733491262,0.0963070144255956,0.10894925892353058
portugal-NF-1041,digital_1_vs_bonafide,3,3,0.9816725651423136,0.9963922301928202,0.014719665050506592,0.1913258582353592,0.08464084317286809,0.1066850150624911
portugal-NF-1041,digital_1_vs_digital_2,3,3,0.9718855619430542,0.9939454595247904,0.022059897581736248,0.2370669941107432,0.10981080929438274,0.12725618481636047
portugal-NF-1041,digital_2_vs_bonafide,3,3,0.9858609636624655,0.9973620772361755,0.011501113573710123,0.16759629547595978,0.0724770153562228,0.09511928011973698
portugal-NF-1083,digital_1_vs_bonafide,3,3,0.9667520721753439,0.9936303098996481,0.0268782377243042,0.2586502681175868,0.11419096837441127,0.1444592997431755
portugal-NF-1083,digital_1_vs_digital_2,3,3,0.9577223459879557,0.9910973509152731,0.0333750049273173,0.2907208204269409,0.13429027299086252,0.1564305474360784
portugal-NF-1083,digital_2_vs_bonafide,3,3,0.977791448434194,0.9949483871459961,0.017156938711802166,0.20345624287923178,0.09729951495925586,0.10615672791997592
portugal-NF-1086,digital_1_vs_bonafide,3,3,0.97627721230189,0.9951131939888,0.018835981686909992,0.21894779801368713,0.10115116089582443,0.1177966371178627
portugal-NF-1086,digital_1_vs_digital_2,3,3,0.9772801796595255,0.9953431884447733,0.018063008785247803,0.21534294883410135,0.10007186979055405,0.11527107904354732
portugal-NF-1086,digital_2_vs_bonafide,3,3,0.9849990804990133,0.9968386093775431,0.011839528878529867,0.17310293018817902,0.07961772133906682,0.0934852088491122
portugal-NF-1105,digital_1_vs_bonafide,3,3,0.9742724498112997,0.9948827425638834,0.02061029275258382,0.22734110554059347,0.10237999260425568,0.12496111293633778
portugal-NF-1105,digital_1_vs_digital_2,3,3,0.972244918346405,0.994448741277059,0.02220382293065389,0.23605723679065704,0.10615343848864238,0.12990379830201468
portugal-NF-1105,digital_2_vs_bonafide,3,3,0.9811619917551676,0.9962567687034607,0.01509477694829305,0.19388089577356973,0.0871059646209081,0.10677493115266164
portugal-NF-1107,digital_1_vs_bonafide,3,3,0.9656027356783549,0.9917622407277426,0.026159505049387615,0.2612866163253784,0.12846528242031732,0.1328213339050611
portugal-NF-1107,digital_1_vs_digital_2,3,3,0.9632208744684855,0.992700477441152,0.029479602972666424,0.270459309220314,0.12177982429663341,0.14867948492368063
portugal-NF-1107,digital_2_vs_bonafide,3,3,0.9728075861930847,0.9945453604062399,0.02173777421315511,0.2329744150241216,0.10483412196238835,0.12814029306173325
portugal-NM-1091,digital_1_vs_bonafide,3,3,0.9449166655540466,0.9852840503056844,0.04036738475163778,0.33249757687250775,0.17182929813861847,0.16066827873388925
portugal-NM-1091,digital_1_vs_digital_2,3,3,0.9679670532544454,0.9924664696057638,0.02449941635131836,0.2530192981163661,0.12313474466403325,0.12988455345233282
portugal-NM-1091,digital_2_vs_bonafide,3,3,0.9747293591499329,0.9946841796239217,0.01995482047398885,0.22398110230763754,0.10289694120486577,0.12108416110277176
portugal-NM-1102,digital_1_vs_bonafide,3,3,0.9735982219378153,0.9941651622454325,0.020566940307617188,0.2308468222618103,0.1109083245197932,0.1199384977420171
portugal-NM-1102,digital_1_vs_digital_2,3,3,0.978124181429545,0.9957965413729349,0.017672359943389893,0.21161447962125143,0.0964291940132777,0.11518528560797374
portugal-NM-1102,digital_2_vs_bonafide,3,3,0.9743480086326599,0.9943887193997701,0.020040710767110188,0.2225294957558314,0.1039544219772021,0.1185750737786293
russian-002_03,digital_1_vs_bonafide,3,3,0.9802495241165161,0.9961615006128947,0.015911976496378582,0.19853491087754568,0.08826724688212077,0.11026766399542491
russian-002_03,digital_1_vs_digital_2,3,3,0.9822559952735901,0.9963029026985168,0.014046907424926758,0.1881198287010193,0.08675217131773631,0.10136765738328297
russian-002_03,digital_2_vs_bonafide,3,3,0.9884530504544576,0.9978762865066528,0.00942323605219523,0.15149110555648804,0.06536165128151576,0.08612945427497228
russian-027_03,digital_1_vs_bonafide,3,3,0.9895726641019186,0.9978009064992269,0.00822824239730835,0.14433651665846506,0.06670574595530827,0.07763077070315678
russian-027_03,digital_1_vs_digital_2,3,3,0.9890840450922648,0.9977955420811971,0.008711496988932291,0.14799618224302927,0.06722649683554967,0.0807696854074796
russian-027_03,digital_2_vs_bonafide,3,3,0.9894311428070068,0.9979138771692911,0.008482734362284342,0.14462743202845255,0.0647585578262806,0.07986887420217197
russian-082_03,digital_1_vs_bonafide,3,3,0.9771271149317423,0.995178739229838,0.018051624298095703,0.2128953536351522,0.09790294369061787,0.1149924099445343
russian-082_03,digital_1_vs_digital_2,3,3,0.9816039005915324,0.9963783025741577,0.014774401982625326,0.19104257225990295,0.08613231778144836,0.10491025447845459
russian-082_03,digital_2_vs_bonafide,3,3,0.9761625329653422,0.9945509433746338,0.018388410409291584,0.21706676483154297,0.10542334616184235,0.11164341866970062
russian-123_03,digital_1_vs_bonafide,3,3,0.9881113171577454,0.9978046814600626,0.0096933643023173,0.153282900651296,0.06606209029754002,0.08722081035375595
russian-123_03,digital_1_vs_digital_2,3,3,0.9915213783582052,0.9983246922492981,0.0068033138910929365,0.12963971743981043,0.05769053101539612,0.07194918642441432
russian-123_03,digital_2_vs_bonafide,3,3,0.9901385505994161,0.9980635245641073,0.007924973964691162,0.14035329222679138,0.06237034872174263,0.07798294350504875
russian-140_03,digital_1_vs_bonafide,3,3,0.973575492699941,0.9949030677477518,0.02132757504781087,0.22815312445163727,0.10046545664469402,0.12768766780694327
russian-140_03,digital_1_vs_digital_2,3,3,0.9856585661570231,0.9972923000653585,0.011633733908335367,0.16929545005162558,0.07493917644023895,0.09435627361138661
russian-140_03,digital_2_vs_bonafide,3,3,0.9800073703130087,0.9957583546638489,0.015750984350840252,0.1955430954694748,0.08965635299682617,0.10588674247264862
russian-141_03,digital_1_vs_bonafide,3,3,0.9913753072420756,0.9981402556101481,0.00676494836807251,0.13126388688882193,0.060960245629151665,0.07030364125967026
russian-141_03,digital_1_vs_digital_2,3,3,0.9941251476605734,0.9988683859507242,0.00474323829015096,0.10781849920749664,0.046913481007019676,0.06090501820047697
russian-141_03,digital_2_vs_bonafide,3,3,0.9941338698069254,0.9989129106203715,0.004779040813446045,0.10803008327881496,0.04630893965562185,0.06172114362319311
russian-NF-1013,digital_1_vs_bonafide,3,3,0.9790065884590149,0.9958232442537943,0.01681665579477946,0.2049823502699534,0.09175894409418106,0.11322340617577235
russian-NF-1013,digital_1_vs_digital_2,3,3,0.9775100549062093,0.9951364398002625,0.017626384894053142,0.21231062213579813,0.09892744819323222,0.11338317394256592
russian-NF-1013,digital_2_vs_bonafide,3,3,0.9885643124580383,0.9977785150210062,0.009214202562967936,0.15103130539258322,0.06724600245555241,0.08378530293703079
russian-NF-1028,digital_1_vs_bonafide,3,3,0.9807941913604736,0.9954980810483297,0.014703889687856039,0.19608668982982635,0.09548178066809972,0.10060490916172664
russian-NF-1028,digital_1_vs_digital_2,3,3,0.988241970539093,0.9980255166689554,0.009783546129862467,0.15360859533150992,0.06295201182365417,0.09065658350785573
russian-NF-1028,digital_2_vs_bonafide,3,3,0.9849871397018433,0.9966257611910502,0.01163862148920695,0.17234061658382416,0.08252449830373128,0.08981611828009288
russian-NF-1069,digital_1_vs_bonafide,3,3,0.9493107398351034,0.9894499977429708,0.04013925790786743,0.3204168677330017,0.14943593243757883,0.17098093529542288
russian-NF-1069,digital_1_vs_digital_2,3,3,0.9504347642262777,0.9897819757461548,0.039347211519877114,0.31596322854359943,0.14582423865795135,0.1701389898856481
russian-NF-1069,digital_2_vs_bonafide,3,3,0.9786927302678426,0.9961276253064474,0.017434895038604736,0.2062949687242508,0.0889061838388443,0.1173887848854065
russian-NF-1080,digital_1_vs_bonafide,3,3,0.9814579884211222,0.9953380823135376,0.013880093892415365,0.19260327021280924,0.09702518582344055,0.0955780843893687
russian-NF-1080,digital_1_vs_digital_2,3,3,0.9796989758809408,0.9954235951105753,0.0157246192296346,0.2012403060992559,0.09576680014530818,0.10547350595394771
russian-NF-1080,digital_2_vs_bonafide,3,3,0.9825771848360697,0.9957999587059021,0.013222773869832357,0.18680291374524435,0.09297589461008708,0.09382701913515727
russian-NF-1081,digital_1_vs_bonafide,3,3,0.9820853670438131,0.9963611563046774,0.014275789260864258,0.18945372104644775,0.08614047368367513,0.10331324736277263
russian-NF-1081,digital_1_vs_digital_2,3,3,0.9749197959899902,0.9946219722429911,0.019702176253000896,0.2240137904882431,0.10408169031143188,0.11993210017681122
russian-NF-1081,digital_2_vs_bonafide,3,3,0.9849364956219991,0.9967111349105835,0.01177463928858439,0.17250500122706094,0.08262605095903079,0.08987895026803017
russian-NM-1027,digital_1_vs_bonafide,3,3,0.9784329334894816,0.99516894419988,0.016736010710398357,0.20794451733430228,0.1004374697804451,0.10750704755385716
russian-NM-1027,digital_1_vs_digital_2,3,3,0.9612071712811788,0.9910624027252197,0.029855231444040935,0.27869611978530884,0.13667754083871841,0.14201857894659042
russian-NM-1027,digital_2_vs_bonafide,3,3,0.9773454070091248,0.9952505230903625,0.017905116081237793,0.21109404663244882,0.09687791019678116,0.11421613643566768
turkiye-008_03,digital_1_vs_bonafide,3,3,0.9635677735010783,0.9916096329689026,0.0280418594678243,0.27067629992961884,0.12957825511693954,0.1410980448126793
turkiye-008_03,digital_1_vs_digital_2,3,3,0.9668588439623514,0.9922516147295634,0.025392770767211914,0.258487602074941,0.12440507610638936,0.13408252596855164
turkiye-008_03,digital_2_vs_bonafide,3,3,0.9801697333653768,0.9958104689915975,0.015640735626220703,0.19817832112312317,0.09114572654167812,0.10703259458144505
turkiye-031_03,digital_1_vs_bonafide,3,3,0.9495969613393148,0.9881460666656494,0.03854910532633463,0.31624194979667664,0.15437384446461996,0.16186810533205667
turkiye-031_03,digital_1_vs_digital_2,3,3,0.9677641987800598,0.9920360445976257,0.024271845817565918,0.25551357865333557,0.1286339064439138,0.12687967220942178
turkiye-031_03,digital_2_vs_bonafide,3,3,0.9282812078793844,0.9822601477305094,0.053978939851125084,0.37238184611002606,0.1836505780617396,0.18873126804828644
turkiye-036_03,digital_1_vs_bonafide,3,3,0.9742500384648641,0.9935247898101807,0.01927475134531657,0.2267179936170578,0.11421092102924983,0.11250707258780797
turkiye-036_03,digital_1_vs_digital_2,3,3,0.9781776666641235,0.9953397909800211,0.017162124315897625,0.2089382161696752,0.09696680307388306,0.11197141309579213
turkiye-036_03,digital_2_vs_bonafide,3,3,0.9747088551521301,0.9938899676005045,0.01918111244837443,0.2246131350596746,0.11037128667036693,0.11424184838930766
turkiye-041_03,digital_1_vs_bonafide,3,3,0.9722304940223694,0.9929703672726949,0.02073987325032552,0.23361965517203012,0.11792974670728047,0.11568990846474965
turkiye-041_03,digital_1_vs_digital_2,3,3,0.9900470574696859,0.9979234337806702,0.007876376310984293,0.14080730577309927,0.06451431165138881,0.07629299412171046
turkiye-041_03,digital_2_vs_bonafide,3,3,0.9718938867251078,0.9927715261777242,0.020877639452616375,0.23557703693707785,0.12043156226476033,0.1151454746723175
turkiye-083_03,digital_1_vs_bonafide,3,3,0.98015296459198,0.995322565237681,0.01516960064570109,0.20003493626912436,0.09814113626877467,0.10189380000034969
turkiye-083_03,digital_1_vs_digital_2,3,3,0.9750270843505859,0.9940955837567648,0.01906849940617879,0.2239695539077123,0.10945693651835124,0.11451261738936107
turkiye-083_03,digital_2_vs_bonafide,3,3,0.9710637728373209,0.9928310116132101,0.02176723877588908,0.23967389265696207,0.12033450603485107,0.11933938662211101
turkiye-086_03,digital_1_vs_bonafide,3,3,0.9836013317108154,0.9965799848238627,0.012978653113047281,0.1817146490017573,0.08391240487496059,0.09780224412679672
turkiye-086_03,digital_1_vs_digital_2,3,3,0.9850108424822489,0.9968903263409933,0.011879483858744303,0.1733894646167755,0.0807286227742831,0.09266084184249242
turkiye-086_03,digital_2_vs_bonafide,3,3,0.9809893170992533,0.9958904385566711,0.014901121457417807,0.19321252405643463,0.09017835309108098,0.10303417096535365
turkiye-092_03,digital_1_vs_bonafide,3,3,0.9696657061576843,0.992852787176768,0.02318708101908366,0.24655996759732565,0.11994090179602306,0.12661906580130258
turkiye-092_03,digital_1_vs_digital_2,3,3,0.974403182665507,0.9947515328725179,0.020348350207010906,0.2272006869316101,0.10379170129696529,0.12340898563464482
