file_stem,hardware_source,pair_type,role_a,role_b,image_a_path,image_a_sha256,image_b_path,image_b_sha256,original_size,model_input_size,layer4_1_cosine,avgpool_cosine,cosine_reconvergence,layer4_1_relative_l2,avgpool_relative_l2,relative_l2_reconvergence
arabic-112_03,iphone15pro,digital_1_vs_bonafide,digital_1,bonafide,train/attack/digital_1/iphone15pro/arabic-112_03.jpg,46e03263cb7f8efda5418b240602241020ad024a00cf181a2c93bc7c414d490c,train/bonafide/iphone15pro/arabic-112_03.jpg,5bc11c2dcf123f22e36c25c6b0bc1cc97d6e98fbbd3114bb88f40b21ec829d57,"(2776, 1768)","(401, 256)",0.9438050985336304,0.9867868423461914,0.042981743812561035,0.33582958579063416,0.16567754745483398,0.17015203833580017
arabic-112_03,iphone15pro,digital_2_vs_bonafide,digital_2,bonafide,train/attack/digital_2/iphone15pro/arabic-112_03.jpg,1f032b567fd1d866a3916f5c3150bc5e7e05a24223e14dd610184ee33179eae9,train/bonafide/iphone15pro/arabic-112_03.jpg,5bc11c2dcf123f22e36c25c6b0bc1cc97d6e98fbbd3114bb88f40b21ec829d57,"(2776, 1768)","(401, 256)",0.9555009007453918,0.9873502254486084,0.03184932470321655,0.29900673031806946,0.16078922152519226,0.1382175087928772
arabic-112_03,iphone15pro,digital_1_vs_digital_2,digital_1,digital_2,train/attack/digital_1/iphone15pro/arabic-112_03.jpg,46e03263cb7f8efda5418b240602241020ad024a00cf181a2c93bc7c414d490c,train/attack/digital_2/iphone15pro/arabic-112_03.jpg,1f032b567fd1d866a3916f5c3150bc5e7e05a24223e14dd610184ee33179eae9,"(2776, 1768)","(401, 256)",0.9649914503097534,0.9924094676971436,0.027418017387390137,0.26460739970207214,0.1235022321343422,0.14110516756772995
arabic-112_03,scan,digital_1_vs_bonafide,digital_1,bonafide,train/attack/digital_1/scan/arabic-112_03.jpg,c13751542fc56a6db589d8d18d88b7d5f8e8d9191fc7cb8a4ba5c90e09fb35b1,train/bonafide/scan/arabic-112_03.jpg,a83ca005a1b68787c18617619d7984e12933a2ac757b11342cdb242cff68c7ce,"(1999, 1244)","(411, 256)",0.9534069299697876,0.989412248134613,0.03600531816482544,0.30710458755493164,0.15245521068572998,0.15464937686920166
arabic-112_03,scan,digital_2_vs_bonafide,digital_2,bonafide,train/attack/digital_2/scan/arabic-112_03.jpg,ab4a947a18c9937a4baf6f49adfc568c2bb86fc9363f111056aa7a57f04a577d,train/bonafide/scan/arabic-112_03.jpg,a83ca005a1b68787c18617619d7984e12933a2ac757b11342cdb242cff68c7ce,"(1999, 1244)","(411, 256)",0.9707762598991394,0.9916695952415466,0.020893335342407227,0.24194632470607758,0.130642831325531,0.11130349338054657
arabic-112_03,scan,digital_1_vs_digital_2,digital_1,digital_2,train/attack/digital_1/scan/arabic-112_03.jpg,c13751542fc56a6db589d8d18d88b7d5f8e8d9191fc7cb8a4ba5c90e09fb35b1,train/attack/digital_2/scan/arabic-112_03.jpg,ab4a947a18c9937a4baf6f49adfc568c2bb86fc9363f111056aa7a57f04a577d,"(1999, 1244)","(411, 256)",0.9589112997055054,0.9901988506317139,0.031287550926208496,0.28767985105514526,0.14227984845638275,0.1454000025987625
arabic-131_03,huawei,digital_1_vs_bonafide,digital_1,bonafide,train/attack/digital_1/huawei/arabic-131_03.jpg,ecdbd91274aaa77cdddadc69f52573c25635c7ecd20400ee68d095b5037e5eba,train/bonafide/huawei/arabic-131_03.jpg,f733731b992459fa0617ee1dc4d11c5dd10f4be92f61163a51ad732a91f0f27c,"(3175, 1963)","(414, 256)",0.9058619737625122,0.9749968647956848,0.06913489103317261,0.4387155771255493,0.22972966730594635,0.20898590981960297
arabic-131_03,huawei,digital_2_vs_bonafide,digital_2,bonafide,train/attack/digital_2/huawei/arabic-131_03.jpg,baa360f3be5f28f622a6f2d53bb2d4b89192c4ff231d3c0e6c7bedec5abd6be0,train/bonafide/huawei/arabic-131_03.jpg,f733731b992459fa0617ee1dc4d11c5dd10f4be92f61163a51ad732a91f0f27c,"(3175, 1963)","(414, 256)",0.9470826387405396,0.9849883913993835,0.037905752658843994,0.32756227254867554,0.17817124724388123,0.1493910253047943
arabic-131_03,huawei,digital_1_vs_digital_2,digital_1,digital_2,train/attack/digital_1/huawei/arabic-131_03.jpg,ecdbd91274aaa77cdddadc69f52573c25635c7ecd20400ee68d095b5037e5eba,train/attack/digital_2/huawei/arabic-131_03.jpg,baa360f3be5f28f622a6f2d53bb2d4b89192c4ff231d3c0e6c7bedec5abd6be0,"(3175, 1963)","(414, 256)",0.945757269859314,0.9869478940963745,0.04119062423706055,0.33049577474594116,0.1619609147310257,0.16853486001491547
arabic-131_03,iphone15pro,digital_1_vs_bonafide,digital_1,bonafide,train/attack/digital_1/iphone15pro/arabic-131_03.jpg,215096643cf48f9a941da80292df6bc6bf5e6cfba24f765526351138f100c3d3,train/bonafide/iphone15pro/arabic-131_03.jpg,c645536856335dc4eaa5da390dc7670b190fe7393eb07f4524eb356b1ae53eab,"(2783, 1762)","(404, 256)",0.9045140743255615,0.9736583232879639,0.06914424896240234,0.4547056555747986,0.2530593276023865,0.2016463279724121
arabic-131_03,iphone15pro,digital_2_vs_bonafide,digital_2,bonafide,train/attack/digital_2/iphone15pro/arabic-131_03.jpg,b0c63da99e2300149c3d0dc63ed1188081fe144f3be7dda381e1c800ba66e52c,train/bonafide/iphone15pro/arabic-131_03.jpg,c645536856335dc4eaa5da390dc7670b190fe7393eb07f4524eb356b1ae53eab,"(2783, 1762)","(404, 256)",0.9203673601150513,0.9795946478843689,0.05922728776931763,0.40361711382865906,0.21426984667778015,0.1893472671508789
