analysis_unit,group_type,group_value,stage,metric,n,mean,std,min,q25,median,q75,max
card_variant,altered_fields_unique,dob|doe|face|name_en,stem_relu,channel_diff_effective_channels,84,42.85982298472571,0.8518203861050726,41.098166147867836,42.160625775655106,42.81261952718099,43.55411624908447,44.912986755371094
card_variant,altered_fields_unique,dob|doe|face|name_en,stem_relu,channel_diff_effective_fraction,84,0.6696847341363392,0.01330969353289176,0.6421588460604349,0.658759777744611,0.668947180112203,0.6805330663919449,0.7017654180526733
card_variant,altered_fields_unique,dob|doe|face|name_other,avgpool,cosine_similarity,8,0.9907002672553062,0.00576196412735181,0.9812819361686707,0.9900307655334473,0.9931887884934743,0.9939847389856974,0.995322565237681
card_variant,altered_fields_unique,dob|doe|face|name_other,avgpool,pearson_correlation,8,0.9785589476426443,0.014214473694013229,0.9549827178319296,0.9769251197576523,0.9850298662980397,0.9866795639197032,0.9897616704305013
card_variant,altered_fields_unique,dob|doe|face|name_other,avgpool,relative_l2_distance,8,0.13450097478926182,0.04308641531456825,0.09814113626877467,0.109368946403265,0.11707591141263644,0.14086374888817468,0.2041956434647242
card_variant,altered_fields_unique,dob|doe|face|name_other,avgpool,mean_absolute_difference,8,0.08311089066167673,0.03031435191657207,0.05927820255359014,0.06569075956940651,0.06965612371762595,0.08644084135691325,0.13412934044996896
card_variant,altered_fields_unique,dob|doe|face|name_other,avgpool,channel_diff_top1_share,8,0.011618976209623117,0.001384509969832393,0.00991102121770382,0.010961651569232345,0.011547801084816456,0.01196896672869722,0.014116014664371809
card_variant,altered_fields_unique,dob|doe|face|name_other,avgpool,channel_diff_top5_share,8,0.050444872273753084,0.004121992099670956,0.04352813959121704,0.04870785679668188,0.05067939683794975,0.05311913571010033,0.055961836129426956
card_variant,altered_fields_unique,dob|doe|face|name_other,avgpool,channel_diff_top10_share,8,0.09124096389859915,0.0060446698787993995,0.0818659911553065,0.08733539779980977,0.09189854065577188,0.09585885455211003,0.09900386383136113
card_variant,altered_fields_unique,dob|doe|face|name_other,avgpool,channel_diff_top32_share,8,0.23054682649672031,0.008143107263022066,0.2213009794553121,0.22435824076334637,0.22745333860317865,0.23894737785061199,0.2413151611884435
card_variant,altered_fields_unique,dob|doe|face|name_other,avgpool,channel_diff_effective_channels,8,261.8613026936849,8.567851309130981,249.8353525797526,253.10122553507486,264.8450495402018,268.72088750203454,270.85594685872394
card_variant,altered_fields_unique,dob|doe|face|name_other,avgpool,channel_diff_effective_fraction,8,0.5114478568236033,0.016734084588146448,0.4879596730073293,0.4943383311231931,0.5172754873832066,0.5248454834024112,0.5290155212084452
card_variant,altered_fields_unique,dob|doe|face|name_other,layer1.0,cosine_similarity,8,0.9946225533882778,0.0007336066387507663,0.9934919079144796,0.9941458453734715,0.9946161210536957,0.9950876832008362,0.9956019123395284
card_variant,altered_fields_unique,dob|doe|face|name_other,layer1.0,pearson_correlation,8,0.9893700579802196,0.0014614157811408057,0.9870797793070475,0.988431120912234,0.9893548289934795,0.9902568161487579,0.9913497964541117
card_variant,altered_fields_unique,dob|doe|face|name_other,layer1.0,relative_l2_distance,8,0.10341580926130216,0.007111116116634492,0.09366519500811894,0.09898010579248269,0.10370395208398502,0.10813998679320018,0.11400806407133739
card_variant,altered_fields_unique,dob|doe|face|name_other,layer1.0,mean_absolute_difference,8,0.0162812153963993,0.0016954805382837492,0.014028004991511503,0.014934319847573835,0.016270479653030634,0.017242052126675844,0.019019053628047306
