file_stem,variant,altered_fields_unique,capture_pair_count,hardware_count,layer4_1_cosine,avgpool_cosine,cosine_reconvergence,layer4_1_relative_l2,avgpool_relative_l2,relative_l2_reconvergence,top_k_feature_overlap,top1_same_numeric
chinese-107_03,digital_1,dob|doe|face|name_en,3,3,0.974660317103068,0.9958717823028564,0.02121146519978841,0.2274499088525772,0.0960979958375295,0.1313519130150477,0.90625,1.0
chinese-107_03,digital_2,dob|doe|face|name_en,3,3,0.9857446352640787,0.9971785346666971,0.011433899402618408,0.16561142851909003,0.07375717163085938,0.09185425688823064,0.9479166666666666,1.0
chinese-NF-1014,digital_1,dob|doe|face|name_en,3,3,0.9775020281473795,0.996091365814209,0.018589337666829426,0.21240933736165366,0.08977676182985306,0.12263257553180058,0.9270833333333334,1.0
chinese-NF-1014,digital_2,dob|doe|face|name_en,3,3,0.9621453881263733,0.9914941986401876,0.02934881051381429,0.2775443693002065,0.13509805500507355,0.14244631429513296,0.8854166666666666,1.0
chinese-NF-1023,digital_1,dob|doe|face|name_en,3,3,0.9700058301289877,0.9941807985305786,0.024174968401590984,0.2446845918893814,0.10796320935090382,0.13672138253847757,0.9270833333333334,1.0
chinese-NF-1023,digital_2,dob|doe|face|name_en,3,3,0.9614810148874918,0.9932823975880941,0.03180138270060221,0.2775649478038152,0.1167169859011968,0.1608479619026184,0.90625,1.0
chinese-NF-1042,digital_1,dob|doe|face|name_en,3,3,0.9672445853551229,0.9938148856163025,0.026570300261179607,0.2552320957183838,0.11235007643699646,0.14288201928138733,0.9270833333333334,0.6666666666666666
chinese-NF-1042,digital_2,dob|doe|face|name_en,3,3,0.9754704038302103,0.9961843490600586,0.020713945229848225,0.21832690636316934,0.08865746359030406,0.1296694427728653,0.90625,0.6666666666666666
chinese-NF-1059,digital_1,dob|doe|face|name_en,3,3,0.9567047953605652,0.9911100467046102,0.034405251344045006,0.2959720591704051,0.13657301912705103,0.15939904004335403,0.8645833333333334,0.6666666666666666
chinese-NF-1059,digital_2,dob|doe|face|name_en,3,3,0.9836703141530355,0.9968611001968384,0.013190786043802897,0.1798597772916158,0.08021168410778046,0.09964809318383534,0.90625,0.3333333333333333
chinese-NF-1067,digital_1,dob|doe|face|name_en,3,3,0.9739201466242472,0.9954544305801392,0.021534283955891926,0.22829570869604746,0.09657060106595357,0.1317251076300939,0.9375,1.0
chinese-NF-1067,digital_2,dob|doe|face|name_en,3,3,0.9779999057451884,0.9951168100039164,0.017116904258728027,0.20634672045707703,0.09892513106266658,0.10742158939441045,0.9166666666666666,1.0
