analysis_unit,group_type,group_value,metric,n,mean,std,min,q25,median,q75,max
capture_pair,hardware_source,huawei,cosine_reconvergence,160,0.025965537503361703,0.017918842528829037,0.005568265914916992,0.014253541827201843,0.020262956619262695,0.031888753175735474,0.10686135292053223
capture_pair,hardware_source,huawei,layer4_1_relative_l2,160,0.24874287880957127,0.08380425311683636,0.1203370988368988,0.18918215855956078,0.22661133855581284,0.28595148772001266,0.5696657299995422
capture_pair,hardware_source,huawei,avgpool_relative_l2,160,0.11929129085037857,0.048738598391961215,0.05497579276561737,0.08546585962176323,0.10557885840535164,0.13416854292154312,0.3183640241622925
capture_pair,hardware_source,huawei,relative_l2_reconvergence,160,0.1294515879591927,0.03674128480355939,0.06341667845845222,0.10146675817668438,0.12048283964395523,0.15323671326041222,0.253606915473938
capture_pair,hardware_source,iphone15pro,layer4_1_cosine,160,0.9587231148034334,0.02559952551590776,0.8590139746665955,0.9477123767137527,0.9671851992607117,0.9760594964027405,0.9903116822242737
capture_pair,hardware_source,iphone15pro,avgpool_cosine,160,0.9902935694903136,0.007352557288692799,0.9576584696769714,0.9873703569173813,0.9932329058647156,0.9951792508363724,0.9980157613754272
capture_pair,hardware_source,iphone15pro,cosine_reconvergence,160,0.03157045468688011,0.018446679342445545,0.0076406002044677734,0.019237428903579712,0.025973498821258545,0.03844575583934784,0.09864449501037598
capture_pair,hardware_source,iphone15pro,layer4_1_relative_l2,160,0.2775558330118656,0.08316877591960804,0.13921670615673065,0.21932459995150566,0.25750643014907837,0.32568830996751785,0.5340473651885986
capture_pair,hardware_source,iphone15pro,avgpool_relative_l2,160,0.1340696584433317,0.04837449369485055,0.06301899999380112,0.10087938979268074,0.11806179955601692,0.16038477420806885,0.2951337695121765
capture_pair,hardware_source,iphone15pro,relative_l2_reconvergence,160,0.1434861745685339,0.03653706632700342,0.07521253824234009,0.11860210448503494,0.13819856196641922,0.16272111982107162,0.2679476886987686
capture_pair,hardware_source,scan,layer4_1_cosine,160,0.9650464907288552,0.021829184611379466,0.8791216611862183,0.958588644862175,0.9709634184837341,0.9796557724475861,0.9909977316856384
capture_pair,hardware_source,scan,avgpool_cosine,160,0.992144176736474,0.006022715163689554,0.966185450553894,0.9910890460014343,0.9944194257259369,0.9956381618976593,0.9984039068222046
capture_pair,hardware_source,scan,cosine_reconvergence,160,0.027097686007618905,0.016033839752013057,0.007085978984832764,0.015843629837036133,0.023199766874313354,0.03219473361968994,0.08965569734573364
capture_pair,hardware_source,scan,layer4_1_relative_l2,160,0.2557802169583738,0.07412194241340511,0.1342378556728363,0.2031785473227501,0.2424970492720604,0.28796351701021194,0.49494999647140503
capture_pair,hardware_source,scan,avgpool_relative_l2,160,0.1211147412424907,0.04186591466336343,0.05708276480436325,0.09427851065993309,0.10894930362701416,0.13786901161074638,0.2650163769721985
capture_pair,hardware_source,scan,relative_l2_reconvergence,160,0.13466547571588308,0.03423642202444629,0.07228170707821846,0.10961970873177052,0.1320321410894394,0.1506622601300478,0.24770334362983704
capture_pair,hardware_source,huawei,layer4_1_cosine,160,0.9712412368506194,0.02303799476924718,0.8637681007385254,0.9648745954036713,0.9789456129074097,0.9857564717531204,0.9947000741958618
capture_pair,hardware_source,huawei,avgpool_cosine,160,0.9932643976062536,0.006558842275820388,0.9600048661231995,0.9915239810943604,0.9955126941204071,0.9971244633197784,0.9988230466842651
capture_pair,hardware_source,huawei,cosine_reconvergence,160,0.02202316075563431,0.016599333944904423,0.00412297248840332,0.011332079768180847,0.016539186239242554,0.02663038671016693,0.09623676538467407
capture_pair,hardware_source,huawei,layer4_1_relative_l2,160,0.22725616698153317,0.08174635924142369,0.10319327563047409,0.16896094754338264,0.2059822455048561,0.2660696431994438,0.5361847281455994
capture_pair,hardware_source,huawei,avgpool_relative_l2,160,0.10915086932945997,0.04597194331643248,0.04861941933631897,0.07777603901922703,0.09627077355980873,0.1312931403517723,0.296853631734848
capture_pair,hardware_source,huawei,relative_l2_reconvergence,160,0.1181052976520732,0.03703724691239195,0.05457385629415512,0.0921759121119976,0.11008527874946594,0.13549390994012356,0.23933109641075134
capture_pair,hardware_source,iphone15pro,layer4_1_cosine,160,0.9609713587909937,0.028058703955212077,0.8387590646743774,0.9499376565217972,0.969878077507019,0.9800855219364166,0.9927414059638977
