file_stem,hardware_source,image_role,image_path,image_sha256,layer4_shape,shift_y,shift_x,layer4_original_vs_roll_cosine,layer4_original_vs_roll_relative_l2,avgpool_original_vs_roll_cosine,avgpool_original_vs_roll_relative_l2,model_avgpool_float32_max_abs_error,roll_avgpool_float32_max_abs_error,roll_avgpool_float64_max_abs_error
arabic-NF-1037,scan,bonafide,train/bonafide/scan/arabic-NF-1037.jpg,25ae759d5155b981230b614e6bb48806af6d9ec1140ebb21ccbac2e0593b470e,"(1, 512, 8, 13)",1,1,0.7509046792984009,0.7058261036872864,1.0,5.5314256286465024e-08,0.0,4.76837158203125e-07,0.0
arabic-NF-1037,scan,digital_1,train/attack/digital_1/scan/arabic-NF-1037.jpg,16ecca4937130d7f08a864d45095264f31bd8808deefdb503433cb831a59584c,"(1, 512, 8, 13)",1,1,0.7411243915557861,0.719549298286438,0.9999999403953552,5.925193491407299e-08,0.0,4.76837158203125e-07,0.0
arabic-NF-1037,scan,digital_2,train/attack/digital_2/scan/arabic-NF-1037.jpg,02d6d0714cb69529b13e67a6f445561d9449177c4b6bf364c8191c2a8c82ff26,"(1, 512, 8, 13)",1,1,0.7426179647445679,0.7174705862998962,1.0,5.245409440135518e-08,0.0,2.384185791015625e-07,0.0
arabic-NF-1040,huawei,bonafide,train/bonafide/huawei/arabic-NF-1040.jpg,fccbf5c3c31988ed48c902230c028104c67c04ea6eeee7e9df13d2bf93f5875e,"(1, 512, 8, 13)",1,1,0.7566733360290527,0.6976053714752197,1.0,6.219118375838661e-08,0.0,4.76837158203125e-07,0.0
arabic-NF-1040,huawei,digital_1,train/attack/digital_1/huawei/arabic-NF-1040.jpg,6cb962b42d3fa09974152b9ac08f5910f67c17142ae41823800f0d359a415e31,"(1, 512, 8, 13)",1,1,0.7586201429367065,0.6948091387748718,1.0,4.431815270322659e-08,0.0,3.5762786865234375e-07,0.0
arabic-NF-1040,huawei,digital_2,train/attack/digital_2/huawei/arabic-NF-1040.jpg,787dbcf796b69ba3401d39008ecaed642450f8bd811094bb8f963c209618e91a,"(1, 512, 8, 13)",1,1,0.7456571459770203,0.7132220268249512,1.0,4.9327390172493324e-08,0.0,2.384185791015625e-07,0.0
arabic-NF-1040,iphone15pro,bonafide,train/bonafide/iphone15pro/arabic-NF-1040.jpg,feaa2822a40189738616f8f91dcb1ae2555ebb9c9dbd57b9f364d92ebc923e8f,"(1, 512, 8, 13)",1,1,0.7583713531494141,0.6951669454574585,1.0,4.899099792510242e-08,0.0,2.384185791015625e-07,0.0
arabic-NF-1040,iphone15pro,digital_1,train/attack/digital_1/iphone15pro/arabic-NF-1040.jpg,516c298522f280a924b6f07f1b224e0cdf5729db88ba59abd4e1d66225ca438c,"(1, 512, 8, 13)",1,1,0.7524290680885315,0.7036631107330322,0.9999999403953552,6.974905630841022e-08,0.0,7.152557373046875e-07,0.0
arabic-NF-1040,iphone15pro,digital_2,train/attack/digital_2/iphone15pro/arabic-NF-1040.jpg,9005961ea52c8e8d398f6911864f3d06fd828a7c631dfd952f5378d89ec2d55e,"(1, 512, 8, 13)",1,1,0.7366909384727478,0.7256847023963928,1.0,4.4466695214850915e-08,0.0,2.384185791015625e-07,0.0
arabic-NF-1040,scan,bonafide,train/bonafide/scan/arabic-NF-1040.jpg,382e4f6701bbf76635db35ac2a830693481f9a0a993bfcb407768929de384964,"(1, 512, 8, 13)",1,1,0.7587916851043701,0.6945621967315674,0.9999998807907104,5.491232357712761e-08,0.0,4.76837158203125e-07,0.0
